token_id,user_address,mint_amount_wei,deposit_amount_wei
235,0x48ec838d7406eb6bd51ef8b768241f09b5912707,1143869629795265,3531377390517015
236,0x48f7d45fa696dc89ff4f2233b25490455ae19dc2,906899760324281,1984774927385561
237,0x4917301cd148fa9265478f64763f71a1d0bc6b9e,4356378867708512105,9648943811120870000
238,0x492f5d913aa8adebfcc4aafe7258f44df4e01043,9769943870087299,27000000000000000
241,0x496b32f9e798d7a9ebefa67b5177a26d4a1666aa,75007295730454,155208104490157
242,0x498bbca5bd72cde641c922512a88b546f036cdb2,1179790894520775,2600000000000000
243,0x4a290f18c35bbfe97b2557cf765de9387726de39,1490084757612994,10002230293546876
245,0x4af47588c31618bab444c9a8f285c676595be649,862268105683612,2979000000000001
249,0x4b6df47f6f5069580188984c8bedb189af286d5a,4329226440022786793,9125756460417716000
254,0x4c69f0fc36b66d70bb7a132bbb94cae6b726ae84,91049634101127,197454288572113
258,0x4f0347b0ed538544db7323bfb7536ff07b7915f1,360916527126338,841971864446498
260,0x4f2250f76b3d1fdca2b42b305ab37260c6fbe520,45673539845410,100435872786012
264,0x4fa8021dc6bee94136e8e3fdd94de520b4b8754d,6675251344485,100024199247598
265,0x4fcb2161e087f3a4153545a25304bd4e123a0e07,105300982543365,240464428548541
266,0x4fe9fc13b85e65133d8a1a92904d937f1f88c2d8,429442952453133,998807209501495
267,0x4ffd0a59a26cb2aa76d403215e4cc2845c053994,671746671252479,2928696141856579
268,0x5030cdcae0f8cbf2659a0c1590736cf0ddd2a681,1126883131954282,2500000000000000
269,0x50b4d75c959361c982643d1758e250f43c1b34c6,1185422027575164,2600820660698907
270,0x5111fa46b34a5a89e76d0dab7993c0c28292f3a6,2505172339603359,11706627891031994
271,0x516b2d73a67a15b765c7538124dd55cbca5dfea1,3987559533102014058,8087930839511296000
272,0x51a3067f71e0897b0bb37fa22face6146ed78bbd,884414321654592,2499999999999999
273,0x51d2bf026fde1ce087c178d9ce3f91fdebf054e6,1233433494912044,6003306646341047
276,0x52f7b68edc4abe1443fb8a1848935ebfe269169b,841112400309016,2512785921252270
277,0x5309c85c96ad89b9e17009065b57fdbd030d23bc,728519516690277,5999999999999999
282,0x544a40955ba1c7e56e161a59e1319e3313c25251,864259758345139,3000000000000001
