token_id,user_address,mint_amount_wei,deposit_amount_wei
224,0x4e1a3895bd8cace0764c161f3b11feaf58ac4f00,2198622803277276,10836033779027678
225,0x4e544b1039eb0e625d230af0fb75ddc9cda34d0e,267983852403118,549951838565502
227,0x4ec9172061c23b2fbba60a4194f4e0806ee02bb3,554688201649527220,1350000000000000000
231,0x50c6a981b80a72d98af87b626d3dfbe226e7d9e0,16958449125851251293,35000000000000000000
232,0x50f01a922500ba20118191c8a37dbff15320aef4,115783154260162222,793000000000000000
234,0x5276a8ccf431c46d2cf448b9827eac0f4e4da64c,52250978217573,112425119045348
235,0x529c3f796016301556fe5402079cac7f409c9104,69199595948230566,138739598720038850
237,0x52e38021b95068264c3b71159fc29517e4d1faf1,1060664514828629313,7500000000000001000
239,0x532faac0951a5874cbbdbb50b8896525b9bfab3c,21477463015447156,100000000000000000
240,0x53969ee9230818e04fce426f2dc7a8e1b8b950f9,192161108524290491,400000000000000000
243,0x556aa3449221b607b37aa334162696d3f08c2d00,49435741823330180,120000000000000000
244,0x55907cf476998d2f58591c6d0a10ecbbe249a8eb,64442553230926459,500000000000000000
245,0x55ab31b4f4ee5ecd2a5ebae43219618a7efb28d7,5219295294306248978,11999115977401050000
246,0x55e70c02916049b17e46a140c4eb170e6088dafe,454858109748115193,1000000000000000000
247,0x56640ba14fb770f1ed151886ac7bb6adaa96955c,90644870295972611,220000000000000000
249,0x5773a379f9f9870e1498d3e84fd4797d6b038c63,3849214481158576201,8056041962609746000
251,0x57bb29588a4be216c017eac196b7c5044848d97d,98781774878244783,500000000000000000
252,0x57e1778318ae6a57141c133911ac8dee5ef6921e,156424236073777269,724678774242182300
255,0x587fbe613c3cc991455f0ea531ff6006c0b8fd51,2472338195694918463,5276008939220871000
256,0x5908029c5851c01185be6d8d42888c76950c6895,40676690723579897698,81692113484107530000
259,0x5b96c56135718699d0edf7fd827edbdf4e8dfde4,426146859193969409,2940973818000000000
262,0x5c58a9d67145fe5224f70bfe0b4fa0fa27e4a4eb,40148351538159351545,81429451445176450000
263,0x5c9fa54ffd519700a57fc3649084abc245b1a19a,23560904834894752927,48010000000000000000
264,0x5cc3cb20b2531c4a6d59bf37aac8acd0e8d099d3,92076481736096941,449285053043862200
265,0x5d5bf5d5a4a92806a9b09954b23459cb44157c89,19448699559309123965,39059356679583020000
